num_venda;data_venda;data_entrega;uf;regiao;gestor;vendedor;departamento;forma_pagamento;valor_venda;status
4125;11/01/2010;19/01/2010;RS;Sul;Roberta Camargo;Lúcia Bueno;Casa e Construção;Cartão de Crédito;6823.05;Concluída
4126;11/01/2010;21/01/2010;PE;Nordeste;Raimundo Moraes;Augusto Melo;Eletrônicos;Cartão de Débito;6278.63;Concluída
4127;12/01/2010;15/01/2010;MT;Centro-Oeste;Amauri Castro;Isabel Dias;Eletrodomésticos;Transferência Eletrônica;169.57;Concluída
4128;12/01/2010;22/01/2010;MG;Sudeste;Luiz Miranda;Rosângela Almeida;Casa e Construção;Cartão de Crédito;684.06;Concluída
4131;12/01/2010;16/01/2010;PE;Nordeste;Raimundo Moraes;Augusto Melo;Roupas e Acessórios;Cartão de Crédito;312.39;Concluída
4132;13/01/2010;20/01/2010;CE;Nordeste;Raimundo Moraes;Alice da Silva;Casa e Construção;Cartão de Débito;3726.25;Concluída
4133;13/01/2010;18/01/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Eletrodomésticos;Transferência Eletrônica;2364.81;Concluída
4134;13/01/2010;18/01/2010;PA;Norte;Elenice Mendes;Luíza Campos;Esporte e Lazer;Cartão de Débito;286.94;Concluída
4135;13/01/2010;21/01/2010;MA;Nordeste;Raimundo Moraes;Luciano Camargo;Roupas e Acessórios;Transferência Eletrônica;425.56;Cancelada
4138;14/01/2010;24/01/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Móveis e Decoração;Cartão de Crédito;769.40;Concluída
4139;15/01/2010;25/01/2010;TO;Norte;Elenice Mendes;Armando Cabral;Móveis e Decoração;Cartão de Crédito;3483.60;Cancelada
4140;15/01/2010;25/01/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Eletrodomésticos;Cartão de Crédito;1150.39;Concluída
4141;15/01/2010;25/01/2010;AM;Norte;Elenice Mendes;Daniel Leite;Eletrodomésticos;Cartão de Crédito;2681.26;Concluída
4143;16/01/2010;19/01/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Casa e Construção;Cartão de Crédito;2374.64;Concluída
4145;16/01/2010;25/01/2010;PB;Nordeste;Raimundo Moraes;Haroldo Cardoso;Casa e Construção;Cartão de Débito;4231.56;Cancelada
4146;17/01/2010;20/01/2010;MS;Centro-Oeste;Amauri Castro;Marco Aurélio Castro;Móveis e Decoração;Cartão de Débito;1804.31;Concluída
4149;17/01/2010;22/01/2010;MS;Centro-Oeste;Amauri Castro;Marco Aurélio Castro;Eletrônicos;Cartão de Débito;9195.10;Concluída
4150;17/01/2010;22/01/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Casa e Construção;Cartão de Débito;4212.93;Concluída
4151;17/01/2010;22/01/2010;AL;Nordeste;Raimundo Moraes;Marcos Reis;Utilidades Domésticas;Cartão de Débito;699.26;Concluída
4152;17/01/2010;26/01/2010;RN;Nordeste;Raimundo Moraes;Ricardo Martins;Eletrônicos;Boleto Bancário;7778.73;Concluída
4153;17/01/2010;21/01/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Eletrônicos;Cartão de Crédito;8026.55;Cancelada
4155;17/01/2010;20/01/2010;SC;Sul;Roberta Camargo;João Lima;Eletrodomésticos;Cartão de Crédito;2915.15;Concluída
4156;17/01/2010;27/01/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Casa e Construção;Cartão de Débito;5502.96;Concluída
4159;18/01/2010;01/02/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Eletrônicos;Transferência Eletrônica;2767.59;Concluída
4160;18/01/2010;22/01/2010;AP;Norte;Elenice Mendes;Maria Cristina Moraes;Casa e Construção;Cartão de Débito;5013.31;Cancelada
4162;18/01/2010;24/01/2010;BA;Nordeste;Raimundo Moraes;Newton Souza;Eletrodomésticos;Boleto Bancário;1849.56;Concluída
4163;18/01/2010;23/01/2010;SC;Sul;Roberta Camargo;João Lima;Eletrônicos;Cartão de Crédito;4944.18;Concluída
4164;19/01/2010;02/02/2010;PB;Nordeste;Raimundo Moraes;Haroldo Cardoso;Casa e Construção;Cartão de Débito;1810.73;Concluída
4165;19/01/2010;25/01/2010;SC;Sul;Roberta Camargo;João Lima;Eletrônicos;Cartão de Crédito;3157.19;Concluída
4167;19/01/2010;30/01/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Eletrônicos;Cartão de Crédito;712.21;Cancelada
4168;20/01/2010;30/01/2010;DF;Centro-Oeste;Amauri Castro;Maria José Dias;Eletrônicos;Transferência Eletrônica;6314.55;Concluída
4169;21/01/2010;28/01/2010;BA;Nordeste;Raimundo Moraes;Newton Souza;Utilidades Domésticas;Transferência Eletrônica;912.32;Concluída
4170;21/01/2010;24/01/2010;RS;Sul;Roberta Camargo;Lúcia Bueno;Eletrodomésticos;Cartão de Crédito;3284.28;Concluída
4171;21/01/2010;24/01/2010;BA;Nordeste;Raimundo Moraes;Newton Souza;Eletrônicos;Cartão de Crédito;2240.04;Concluída
4174;21/01/2010;30/01/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Móveis e Decoração;Transferência Eletrônica;3150.96;Concluída
4175;21/01/2010;28/01/2010;SC;Sul;Roberta Camargo;João Lima;Eletrodomésticos;Cartão de Débito;496.97;Concluída
4176;21/01/2010;25/01/2010;SC;Sul;Roberta Camargo;João Lima;Eletrônicos;Cartão de Débito;9886.51;Concluída
4177;22/01/2010;28/01/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Eletrônicos;Cartão de Débito;8918.01;Concluída
4178;22/01/2010;26/01/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Utilidades Domésticas;Boleto Bancário;221.06;Concluída
4179;23/01/2010;27/01/2010;BA;Nordeste;Raimundo Moraes;Newton Souza;Eletrônicos;Cartão de Crédito;1661.49;Concluída
4180;23/01/2010;26/01/2010;RS;Sul;Roberta Camargo;Lúcia Bueno;Eletrodomésticos;Cartão de Crédito;266.64;Concluída
4181;23/01/2010;30/01/2010;MA;Nordeste;Raimundo Moraes;Luciano Camargo;Esporte e Lazer;Cartão de Débito;2661.95;Concluída
4184;23/01/2010;31/01/2010;PE;Nordeste;Raimundo Moraes;Augusto Melo;Eletrônicos;Cartão de Débito;5927.11;Concluída
4186;23/01/2010;31/01/2010;RS;Sul;Roberta Camargo;Lúcia Bueno;Eletrônicos;Cartão de Débito;7675.74;Concluída
4187;24/01/2010;28/01/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Móveis e Decoração;Cartão de Débito;1373.60;Concluída
4188;24/01/2010;27/01/2010;PE;Nordeste;Raimundo Moraes;Augusto Melo;Móveis e Decoração;Cartão de Débito;2621.75;Concluída
4189;24/01/2010;02/02/2010;PE;Nordeste;Raimundo Moraes;Augusto Melo;Eletrônicos;Cartão de Crédito;6742.32;Concluída
4190;24/01/2010;26/01/2010;RS;Sul;Roberta Camargo;Lúcia Bueno;Casa e Construção;Cartão de Débito;6214.34;Concluída
4191;24/01/2010;28/01/2010;PB;Nordeste;Raimundo Moraes;Haroldo Cardoso;Eletrônicos;Cartão de Crédito;5223.09;Concluída
4194;24/01/2010;01/02/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Utilidades Domésticas;Cartão de Crédito;431.29;Concluída
4195;24/01/2010;29/01/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Casa e Construção;Transferência Eletrônica;3205.67;Concluída
4196;25/01/2010;07/02/2010;RN;Nordeste;Raimundo Moraes;Ricardo Martins;Eletrônicos;Cartão de Débito;3587.03;Concluída
4197;25/01/2010;03/02/2010;PA;Norte;Elenice Mendes;Luíza Campos;Roupas e Acessórios;Cartão de Crédito;159.37;Concluída
4198;26/01/2010;04/02/2010;MG;Sudeste;Luiz Miranda;Rosângela Almeida;Eletrônicos;Cartão de Débito;7405.93;Concluída
4201;26/01/2010;28/01/2010;PR;Sul;Roberta Camargo;Érica Macedo;Eletrônicos;Cartão de Crédito;5181.96;Concluída
4202;26/01/2010;02/02/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Casa e Construção;Cartão de Crédito;7072.25;Concluída
4203;26/01/2010;29/01/2010;PB;Nordeste;Raimundo Moraes;Haroldo Cardoso;Esporte e Lazer;Boleto Bancário;171.27;Concluída
4204;27/01/2010;01/02/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Casa e Construção;Transferência Eletrônica;1240.09;Concluída
4205;27/01/2010;04/02/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Roupas e Acessórios;Transferência Eletrônica;53.15;Cancelada
4206;28/01/2010;04/02/2010;PE;Nordeste;Raimundo Moraes;Augusto Melo;Eletrodomésticos;Cartão de Crédito;898.47;Concluída
4209;28/01/2010;01/02/2010;MA;Nordeste;Raimundo Moraes;Luciano Camargo;Eletrodomésticos;Transferência Eletrônica;2079.31;Concluída
4210;28/01/2010;12/02/2010;BA;Nordeste;Raimundo Moraes;Newton Souza;Casa e Construção;Cartão de Débito;7870.26;Concluída
4211;28/01/2010;03/02/2010;AM;Norte;Elenice Mendes;Daniel Leite;Roupas e Acessórios;Cartão de Crédito;98.16;Concluída
4213;29/01/2010;01/02/2010;RO;Norte;Elenice Mendes;Dorival da Silva;Utilidades Domésticas;Cartão de Crédito;994.65;Concluída
4216;29/01/2010;01/02/2010;MS;Centro-Oeste;Amauri Castro;Marco Aurélio Castro;Esporte e Lazer;Transferência Eletrônica;984.50;Concluída
4217;30/01/2010;07/02/2010;SC;Sul;Roberta Camargo;João Lima;Esporte e Lazer;Cartão de Crédito;942.18;Concluída
4218;30/01/2010;03/02/2010;MG;Sudeste;Luiz Miranda;Rosângela Almeida;Eletrodomésticos;Boleto Bancário;582.01;Concluída
4219;30/01/2010;14/02/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Esporte e Lazer;Cartão de Débito;1723.48;Concluída
4220;30/01/2010;09/02/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Eletrodomésticos;Cartão de Débito;2619.86;Concluída
4221;31/01/2010;14/02/2010;PB;Nordeste;Raimundo Moraes;Haroldo Cardoso;Utilidades Domésticas;Transferência Eletrônica;814.87;Concluída
4224;31/01/2010;02/02/2010;RS;Sul;Roberta Camargo;Lúcia Bueno;Casa e Construção;Cartão de Crédito;159.72;Cancelada
4226;31/01/2010;10/02/2010;RS;Sul;Roberta Camargo;Lúcia Bueno;Eletrônicos;Cartão de Crédito;1693.30;Concluída
4229;31/01/2010;07/02/2010;BA;Nordeste;Raimundo Moraes;Newton Souza;Esporte e Lazer;Cartão de Crédito;1530.94;Concluída
4230;02/02/2010;05/02/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Eletrônicos;Boleto Bancário;3111.90;Concluída
4233;02/02/2010;06/02/2010;SC;Sul;Roberta Camargo;João Lima;Casa e Construção;Boleto Bancário;5837.88;Concluída
4235;02/02/2010;12/02/2010;MT;Centro-Oeste;Amauri Castro;Isabel Dias;Casa e Construção;Transferência Eletrônica;4362.95;Concluída
4236;03/02/2010;16/02/2010;PB;Nordeste;Raimundo Moraes;Haroldo Cardoso;Casa e Construção;Transferência Eletrônica;2455.27;Concluída
4237;03/02/2010;06/02/2010;MG;Sudeste;Luiz Miranda;Rosângela Almeida;Casa e Construção;Cartão de Débito;1274.40;Concluída
4238;03/02/2010;09/02/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Roupas e Acessórios;Cartão de Débito;193.87;Concluída
4239;04/02/2010;07/02/2010;SC;Sul;Roberta Camargo;João Lima;Eletrônicos;Cartão de Débito;4037.62;Concluída
4240;04/02/2010;10/02/2010;RS;Sul;Roberta Camargo;Lúcia Bueno;Casa e Construção;Cartão de Crédito;6798.23;Concluída
4242;04/02/2010;10/02/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Eletrônicos;Cartão de Crédito;9763.96;Concluída
4243;05/02/2010;08/02/2010;RO;Norte;Elenice Mendes;Dorival da Silva;Eletrônicos;Cartão de Débito;7390.40;Concluída
4245;06/02/2010;16/02/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Eletrônicos;Cartão de Crédito;555.75;Concluída
4247;06/02/2010;20/02/2010;MT;Centro-Oeste;Amauri Castro;Isabel Dias;Roupas e Acessórios;Transferência Eletrônica;367.94;Concluída
4250;06/02/2010;12/02/2010;MG;Sudeste;Luiz Miranda;Rosângela Almeida;Eletrodomésticos;Cartão de Débito;187.60;Concluída
4251;06/02/2010;15/02/2010;AL;Nordeste;Raimundo Moraes;Marcos Reis;Eletrodomésticos;Cartão de Crédito;1966.75;Concluída
4252;06/02/2010;12/02/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Casa e Construção;Cartão de Crédito;3595.98;Concluída
4253;07/02/2010;12/02/2010;SC;Sul;Roberta Camargo;João Lima;Utilidades Domésticas;Cartão de Crédito;912.60;Concluída
4254;07/02/2010;15/02/2010;AL;Nordeste;Raimundo Moraes;Marcos Reis;Eletrônicos;Cartão de Débito;1271.49;Concluída
4255;07/02/2010;14/02/2010;GO;Centro-Oeste;Amauri Castro;Ana Cristina Lopes;Eletrodomésticos;Cartão de Crédito;3105.89;Concluída
4256;08/02/2010;13/02/2010;ES;Sudeste;Luiz Miranda;Marisa Lemos;Eletrônicos;Boleto Bancário;6835.26;Concluída
4257;08/02/2010;14/02/2010;RO;Norte;Elenice Mendes;Dorival da Silva;Eletrônicos;Cartão de Crédito;7355.27;Concluída
4258;08/02/2010;18/02/2010;RS;Sul;Roberta Camargo;Lúcia Bueno;Eletrônicos;Transferência Eletrônica;4538.01;Concluída
4259;10/02/2010;25/02/2010;AC;Norte;Elenice Mendes;Célio Carvalho;Casa e Construção;Boleto Bancário;809.04;Concluída
4260;10/02/2010;20/02/2010;BA;Nordeste;Raimundo Moraes;Newton Souza;Utilidades Domésticas;Cartão de Débito;679.24;Concluída
4261;11/02/2010;21/02/2010;PA;Norte;Elenice Mendes;Luíza Campos;Eletrônicos;Cartão de Crédito;8126.62;Cancelada
4262;12/02/2010;20/02/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Eletrônicos;Cartão de Débito;1984.69;Concluída
4264;12/02/2010;20/02/2010;AC;Norte;Elenice Mendes;Célio Carvalho;Utilidades Domésticas;Cartão de Débito;449.91;Concluída
4265;12/02/2010;14/02/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Utilidades Domésticas;Boleto Bancário;1381.34;Concluída
4266;13/02/2010;16/02/2010;AM;Norte;Elenice Mendes;Daniel Leite;Casa e Construção;Transferência Eletrônica;1776.17;Concluída
4267;14/02/2010;17/02/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Eletrônicos;Cartão de Débito;1219.92;Concluída
4268;14/02/2010;21/02/2010;DF;Centro-Oeste;Amauri Castro;Maria José Dias;Eletrônicos;Cartão de Crédito;4529.74;Concluída
4271;14/02/2010;22/02/2010;ES;Sudeste;Luiz Miranda;Marisa Lemos;Casa e Construção;Boleto Bancário;4032.09;Concluída
4274;15/02/2010;23/02/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Roupas e Acessórios;Transferência Eletrônica;412.28;Concluída
4275;15/02/2010;24/02/2010;AC;Norte;Elenice Mendes;Célio Carvalho;Utilidades Domésticas;Cartão de Crédito;319.41;Concluída
4276;15/02/2010;27/02/2010;MS;Centro-Oeste;Amauri Castro;Marco Aurélio Castro;Eletrodomésticos;Cartão de Débito;804.87;Cancelada
4279;15/02/2010;20/02/2010;MG;Sudeste;Luiz Miranda;Rosângela Almeida;Eletrodomésticos;Cartão de Débito;510.10;Concluída
4280;15/02/2010;20/02/2010;CE;Nordeste;Raimundo Moraes;Alice da Silva;Casa e Construção;Transferência Eletrônica;529.92;Concluída
4281;16/02/2010;24/02/2010;MT;Centro-Oeste;Amauri Castro;Isabel Dias;Eletrônicos;Transferência Eletrônica;2522.78;Concluída
4283;16/02/2010;21/02/2010;PR;Sul;Roberta Camargo;Érica Macedo;Eletrônicos;Cartão de Débito;4125.53;Concluída
4284;16/02/2010;18/02/2010;AC;Norte;Elenice Mendes;Célio Carvalho;Roupas e Acessórios;Transferência Eletrônica;145.50;Concluída
4286;16/02/2010;28/02/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Eletrônicos;Cartão de Crédito;4746.38;Concluída
4287;16/02/2010;01/03/2010;BA;Nordeste;Raimundo Moraes;Newton Souza;Eletrônicos;Cartão de Crédito;10065.47;Concluída
4288;16/02/2010;21/02/2010;RR;Norte;Elenice Mendes;Ana Lúcia Ramos;Utilidades Domésticas;Transferência Eletrônica;628.33;Cancelada
4291;17/02/2010;02/03/2010;AM;Norte;Elenice Mendes;Daniel Leite;Eletrônicos;Cartão de Crédito;10480.99;Concluída
4292;18/02/2010;21/02/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Eletrônicos;Cartão de Crédito;9557.57;Concluída
4293;18/02/2010;28/02/2010;MG;Sudeste;Luiz Miranda;Rosângela Almeida;Eletrodomésticos;Cartão de Crédito;715.08;Concluída
4294;18/02/2010;24/02/2010;PI;Nordeste;Raimundo Moraes;Gerson Melo;Utilidades Domésticas;Cartão de Débito;837.87;Concluída
4295;18/02/2010;04/03/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Casa e Construção;Cartão de Débito;1308.53;Concluída
4296;18/02/2010;24/02/2010;TO;Norte;Elenice Mendes;Armando Cabral;Utilidades Domésticas;Cartão de Débito;1113.79;Concluída
4297;19/02/2010;03/03/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Eletrônicos;Cartão de Débito;8416.53;Concluída
4298;19/02/2010;24/02/2010;MA;Nordeste;Raimundo Moraes;Luciano Camargo;Utilidades Domésticas;Cartão de Débito;1496.33;Concluída
4299;20/02/2010;25/02/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Casa e Construção;Transferência Eletrônica;3841.10;Concluída
4300;20/02/2010;03/03/2010;RS;Sul;Roberta Camargo;Lúcia Bueno;Eletrodomésticos;Boleto Bancário;1737.64;Concluída
4301;20/02/2010;28/02/2010;SC;Sul;Roberta Camargo;João Lima;Roupas e Acessórios;Transferência Eletrônica;49.58;Concluída
4302;21/02/2010;24/02/2010;MG;Sudeste;Luiz Miranda;Rosângela Almeida;Esporte e Lazer;Cartão de Crédito;962.94;Concluída
4303;21/02/2010;25/02/2010;SC;Sul;Roberta Camargo;João Lima;Eletrônicos;Boleto Bancário;5002.34;Concluída
4304;21/02/2010;03/03/2010;GO;Centro-Oeste;Amauri Castro;Ana Cristina Lopes;Casa e Construção;Cartão de Crédito;799.58;Concluída
4306;21/02/2010;28/02/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Móveis e Decoração;Transferência Eletrônica;4652.32;Concluída
4307;21/02/2010;25/02/2010;SE;Nordeste;Raimundo Moraes;Eduardo Rocha;Casa e Construção;Cartão de Débito;5366.66;Concluída
4308;22/02/2010;25/02/2010;MS;Centro-Oeste;Amauri Castro;Marco Aurélio Castro;Casa e Construção;Cartão de Crédito;5092.99;Concluída
4309;22/02/2010;07/03/2010;RS;Sul;Roberta Camargo;Lúcia Bueno;Eletrônicos;Cartão de Débito;3386.41;Concluída
4310;23/02/2010;26/02/2010;MG;Sudeste;Luiz Miranda;Rosângela Almeida;Eletrodomésticos;Cartão de Crédito;1471.31;Concluída
4311;23/02/2010;25/02/2010;SE;Nordeste;Raimundo Moraes;Eduardo Rocha;Eletrodomésticos;Cartão de Débito;2721.32;Concluída
4312;23/02/2010;01/03/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Roupas e Acessórios;Cartão de Crédito;318.60;Concluída
4313;23/02/2010;28/02/2010;BA;Nordeste;Raimundo Moraes;Newton Souza;Eletrodomésticos;Cartão de Crédito;199.85;Concluída
4316;23/02/2010;03/03/2010;AC;Norte;Elenice Mendes;Célio Carvalho;Utilidades Domésticas;Cartão de Crédito;725.10;Concluída
4319;23/02/2010;03/03/2010;RO;Norte;Elenice Mendes;Dorival da Silva;Casa e Construção;Transferência Eletrônica;4833.55;Concluída
4320;24/02/2010;28/02/2010;AM;Norte;Elenice Mendes;Daniel Leite;Eletrodomésticos;Transferência Eletrônica;1104.91;Concluída
4321;24/02/2010;06/03/2010;PB;Nordeste;Raimundo Moraes;Haroldo Cardoso;Utilidades Domésticas;Cartão de Débito;873.84;Concluída
4322;24/02/2010;07/03/2010;CE;Nordeste;Raimundo Moraes;Alice da Silva;Roupas e Acessórios;Cartão de Crédito;225.51;Concluída
4323;25/02/2010;27/02/2010;PA;Norte;Elenice Mendes;Luíza Campos;Móveis e Decoração;Cartão de Crédito;1019.53;Concluída
4324;25/02/2010;03/03/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Esporte e Lazer;Cartão de Débito;1677.85;Concluída
4325;25/02/2010;27/02/2010;BA;Nordeste;Raimundo Moraes;Newton Souza;Roupas e Acessórios;Cartão de Crédito;112.08;Concluída
4327;26/02/2010;05/03/2010;SE;Nordeste;Raimundo Moraes;Eduardo Rocha;Esporte e Lazer;Transferência Eletrônica;2469.34;Concluída
4329;26/02/2010;01/03/2010;RS;Sul;Roberta Camargo;Lúcia Bueno;Casa e Construção;Cartão de Crédito;4001.87;Concluída
4330;26/02/2010;07/03/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Casa e Construção;Cartão de Crédito;4313.74;Cancelada
4331;27/02/2010;01/03/2010;RS;Sul;Roberta Camargo;Lúcia Bueno;Esporte e Lazer;Cartão de Crédito;541.91;Concluída
4334;27/02/2010;02/03/2010;ES;Sudeste;Luiz Miranda;Marisa Lemos;Esporte e Lazer;Cartão de Crédito;1926.02;Concluída
4335;28/02/2010;11/03/2010;RR;Norte;Elenice Mendes;Ana Lúcia Ramos;Eletrônicos;Cartão de Débito;9373.55;Concluída
4336;28/02/2010;08/03/2010;MT;Centro-Oeste;Amauri Castro;Isabel Dias;Eletrônicos;Cartão de Crédito;3582.80;Concluída
4338;01/03/2010;07/03/2010;PA;Norte;Elenice Mendes;Luíza Campos;Utilidades Domésticas;Cartão de Crédito;1379.44;Concluída
4339;01/03/2010;07/03/2010;PB;Nordeste;Raimundo Moraes;Haroldo Cardoso;Eletrônicos;Cartão de Débito;5229.81;Concluída
4340;01/03/2010;13/03/2010;RS;Sul;Roberta Camargo;Lúcia Bueno;Eletrodomésticos;Cartão de Débito;1894.16;Concluída
4341;01/03/2010;05/03/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Casa e Construção;Cartão de Crédito;7479.34;Concluída
4342;03/03/2010;10/03/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Eletrônicos;Cartão de Crédito;4349.33;Concluída
4343;03/03/2010;07/03/2010;SC;Sul;Roberta Camargo;João Lima;Utilidades Domésticas;Cartão de Crédito;1227.30;Cancelada
4344;03/03/2010;10/03/2010;BA;Nordeste;Raimundo Moraes;Newton Souza;Utilidades Domésticas;Cartão de Débito;750.10;Concluída
4345;03/03/2010;08/03/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Casa e Construção;Cartão de Crédito;2597.42;Concluída
